show,click
19524,1981
10666,1922
14166,1783
62405,1607
23325,1579
6144,1316
4623,1259
7554,1184
12321,1099
4025,1098
12438,1069
7474,1012
3384,983
10722,971
6916,816
3410,805
11345,780
1961,772
3024,771
12429,734
3543,702
4055,678
2630,663
6354,656
15158,648
7855,607
1944,606
4033,596
4738,589
2978,496
15268,482
1728,482
1422,450
5174,446
9143,423
1786,383
8553,379
1741,375
2988,359
14984,359
1760,358
1819,357
2716,342
10409,330
16545,321
2127,309
1171,301
3353,301
1476,301
1173,300
5322,300
3511,293
1531,289
1321,270
4226,266
1679,254
1537,253
1538,246
5096,243
2385,242
759,237
912,237
2048,229
1613,225
2306,225
2329,225
850,220
1650,219
1098,216
2149,215
5217,214
1206,209
2759,200
1996,176
2260,175
680,161
1559,155
631,151
2451,150
996,145
2440,142
822,142
1673,137
631,136
386,136
1935,127
1009,126
2019,122
588,122
530,119
635,117
339,115
648,113
929,113
473,112
690,112
1995,111
21269,111
3446,109
719,109
1788,109
1076,107
758,107
600,107
306,107
1423,103
1693,99
531,96
438,96
946,96
279,96
513,94
619,90
459,90
714,88
1042,86
319,85
435,85
215,77
308,75
612,75
655,74
684,73
756,71
907,68
465,68
1286,68
507,63
579,62
124,61
1043,60
177,60
170,59
1696,59
280,58
176,58
170,56
729,56
225,55
319,54
145,53
276,53
275,53
385,53
786,51
1463,50
738,50
429,49
157,49
860,48
295,48
2654,47
596,45
992,44
176,44
105,44
385,44
512,44
93,43
183,43
398,43
79,43
105,42
1796,42
697,42
258,42
663,41
144,41
402,40
223,40
299,40
920,39
139,39
445,39
496,39
141,38
601,38
110,37
129,37
177,37
993,37
100,36
75,36
217,36
283,36
643,36
117,35
199,35
94,35
748,34
101,34
138,34
717,34
243,33
274,33
120,33
259,32
109,31
313,31
105,31
293,31
409,30
255,30
1271,30
231,30
250,30
520,29
171,29
152,29
235,29
539,29
958,28
1936,28
132,28
114,28
97,28
113,28
415,27
147,26
137,26
504,25
117,25
278,25
181,25
552,25
250,25
372,24
631,24
236,24
233,24
111,24
220,24
101,24
188,23
579,23
123,23
217,23
124,22
147,22
461,22
72,22
1558,22
85,22
43,22
137,22
107,22
3736,22
188,22
214,22
49,21
119,21
185,21
73,21
115,20
290,20
216,20
264,20
91,19
124,19
230,19
68,19
319,19
77,19
110,19
113,19
492,19
281,19
251,18
315,18
62,18
153,18
115,18
139,18
467,18
160,18
46,17
86,17
26,17
102,17
58,17
83,17
243,17
61,17
231,17
46,17
123,17
106,17
78,17
108,16
95,16
75,16
116,16
155,16
421,16
154,15
1283,15
394,15
277,15
531,15
45,15
48,15
209,15
45,14
141,14
116,14
68,14
74,14
45,14
146,14
222,14
262,14
127,14
74,13
65,13
432,13
34,13
164,13
45,13
70,13
43,13
31,13
276,13
32,12
101,12
131,12
88,12
105,12
59,12
80,12
53,12
44,12
37,12
641,12
258,12
149,12
152,12
139,12
105,11
56,11
747,11
229,11
79,11
53,11
44,11
54,11
857,11
253,11
39,11
35,11
137,11
164,11
290,11
477,10
37,10
201,10
266,10
1088,10
268,10
243,10
36,10
989,10
80,10
32,10
60,10
394,10
103,10
390,10
87,10
85,10
86,10
15,9
87,9
59,9
89,9
12,9
114,9
60,9
104,9
98,9
52,9
284,9
47,9
107,9
33,9
71,9
40,9
26,9
89,9
268,9
104,9
47,9
58,9
593,9
46,9
34,9
53,9
31,8
36,8
983,8
228,8
275,8
40,8
119,8
87,8
298,8
26,8
162,8
55,8
45,8
38,8
74,8
27,8
26,8
19,8
61,8
48,8
54,8
26,8
623,8
46,8
109,8
156,8
112,7
229,7
379,7
44,7
330,7
